"pitch","midi","channel","on_tick","off_tick"
"fis''",78,2,26496,26688
"gis'",68,4,26688,26880
"e''",76,2,26688,26880
"fis'",66,4,26880,27456
"dis''",75,2,26880,27456
"b'",71,3,27264,27456
"b''",83,1,27264,27456
"ais'",70,3,27456,27648
"cis'''",85,1,27456,27648
"gis'",68,4,27648,28224
"b'",71,3,27648,28416
"dis''",75,2,27648,28224
"dis'''",87,1,27648,28416
"fis'",66,4,28224,28416
"fis''",78,2,28224,28416
"f'",65,4,28416,29184
"b'",71,3,28416,28608
"gis''",80,2,28416,29184
"gis''",80,1,28416,28800
"cis''",73,3,28608,28800
"dis''",75,3,28800,28992
"b''",83,1,28800,29184
"b'",71,3,28992,29184
"fis'",66,4,29184,29376
"cis''",73,3,29184,29568
"cis''",73,2,29184,29376
"cis'''",85,1,29184,30144
"f'",65,4,29376,29568
"cis''",73,2,29376,30144
"fis'",66,4,29568,29760
"dis''",75,2,29568,29760
"gis'",68,4,29760,29952
"f''",77,2,29760,29952
"ais'",70,4,29952,30336
"fis''",78,2,29952,30336
"b'",71,4,30336,30528
"b'",71,3,30336,30528
"b''",83,2,30336,30528
"b''",83,1,30336,30528
"ais'",70,4,30528,30720
"ais'",70,3,30528,30720
"ais''",82,2,30528,30720
"ais''",82,1,30528,30720
"gis'",68,4,30720,31296
"gis'",68,3,30720,31296
"gis''",80,2,30720,31296
"gis''",80,1,30720,31296
"gis'",68,4,31296,31488
"gis'",68,3,31296,31488
"gis''",80,2,31296,31488
"gis''",80,1,31296,31488
"gis'",68,4,31488,31680
"gis'",68,3,31488,31680
"gis''",80,2,31488,31680
"gis''",80,1,31488,31680
"ais'",70,4,31680,31872
"ais'",70,3,31680,31872
"ais''",82,2,31680,31872
"ais''",82,1,31680,31872
"b'",71,4,31872,32064
"b'",71,3,31872,32064
"b''",83,2,31872,32064
"b''",83,1,31872,32064
"gis'",68,4,32064,32256
"gis'",68,3,32064,32256
"gis''",80,2,32064,32256
"gis''",80,1,32064,32256
"fis'",66,4,32256,33216
"fis'",66,3,32256,33216
"fis''",78,2,32256,33216
"fis''",78,1,32256,33216
"c''",72,2,33408,33600
"dis''",75,1,33408,33600
"dis''",75,2,33600,33792
