"snippet","data_ref","x","y","tied_data_refs"
"cis'''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:210:3",419.916,22.671,""
"eis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:511:9",423.828,56.626,""
"cis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:305:10",423.828,33.047,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:511:15",426.681,56.626,""
"dis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:305:17",426.681,33.047,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:511:23",429.421,56.626,""
"eis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:305:26",429.421,33.047,""
"ais'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:511:31",432.161,56.626,""
"fis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:305:35",432.161,33.047,""
"b'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:511:37",437.641,56.626,""
"b'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:414:17",437.641,46.353,""
"b''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:305:42",437.641,33.047,""
"b''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:210:18",437.641,22.671,""
"ais'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:511:41",440.622,56.626,""
"ais'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:414:21",440.622,46.353,""
"ais''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:305:47",440.622,33.047,""
"ais''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:210:23",440.622,22.671,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:512:3",444.938,56.626,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:415:3",444.938,46.353,""
"gis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:306:3",444.938,33.047,""
"gis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:211:3",444.938,22.671,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:512:10",451.618,56.626,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:415:10",451.618,46.353,""
"gis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:306:11",451.618,33.047,""
"gis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:211:11",451.618,22.671,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:512:16",455.924,56.626,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:415:16",455.924,46.353,""
"gis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:306:18",455.924,33.047,""
"gis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:211:18",455.924,22.671,""
"ais'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:512:22",461.388,56.626,""
"ais'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:415:22",461.388,46.353,""
"ais''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:306:25",461.388,33.047,""
"ais''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:211:25",461.388,22.671,""
"b'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:512:28",466.626,56.626,""
"b'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:415:28",466.626,46.353,""
"b''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:306:32",466.626,33.047,""
"b''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:211:32",466.626,22.671,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:512:32",469.731,56.626,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:415:32",469.731,46.353,""
"gis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:306:37",469.731,33.047,""
"gis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:211:37",469.731,22.671,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:513:3",473.792,56.626,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:416:3",473.792,46.353,""
"fis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:307:3",473.792,33.047,""
"fis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:212:3",473.792,22.671,""
"bis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:307:17",487.152,33.047,""
"dis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:212:17",487.152,22.671,""
"dis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:307:23",493.63,33.047,""
"fis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:212:29",493.63,22.671,""
"dis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:308:3",498.718,33.047,""
"fis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:213:3",498.718,22.671,""
"cis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:308:10",501.458,33.047,""
"e''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:213:10",501.458,22.671,""
"e'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:514:6",504.198,56.626,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:417:6",504.198,46.353,""
"cis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:308:17",504.198,33.047,""
"e''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:213:15",504.198,22.671,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:514:10",510.676,56.626,""
"b'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:417:12",510.676,46.353,""
"gis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:514:16",515.764,56.626,""
"b'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:417:16",515.764,46.353,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:514:22",518.504,56.626,""
"ais'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:417:20",518.504,46.353,""
"fis'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:514:28",521.244,56.626,""
"ais'","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:417:26",521.244,46.353,""
"cis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:308:24",521.244,33.047,""
"cis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:213:20",521.244,22.671,""
"e''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:308:31",523.984,33.047,""
"gis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:213:27",523.984,22.671,""
"e''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:309:3",527.968,33.047,""
"gis''","/home/henri/projects/partitur-data/Tuhan_Maha_Kasih/Tuhan_Maha_Kasih_ly_main.ly:214:3",527.968,22.671,""
